actual,predicted
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,UNK
UNK,UNK
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
occupation,UNK
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,UNK
UNK,occupation
employer,UNK
employer,employer
employer,employer
employer,employer
UNK,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
UNK,UNK
employer,employer
UNK,UNK
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,UNK
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
occupation,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
UNK,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
UNK,employer
employer,employer
employer,UNK
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
UNK,occupation
employer,employer
employer,employer
UNK,UNK
employer,employer
UNK,occupation
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
occupation,employer
UNK,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
UNK,employer
employer,employer
occupation,occupation
employer,UNK
employer,employer
occupation,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
occupation,occupation
employer,employer
UNK,UNK
employer,employer
employer,employer
UNK,employer
occupation,occupation
employer,employer
employer,employer
occupation,UNK
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
occupation,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
UNK,occupation
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
UNK,employer
employer,employer
employer,UNK
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,UNK
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
occupation,UNK
employer,employer
occupation,occupation
employer,employer
occupation,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,UNK
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
UNK,occupation
employer,employer
UNK,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,UNK
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
UNK,UNK
employer,employer
UNK,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,UNK
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,UNK
employer,employer
employer,employer
employer,employer
occupation,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,UNK
employer,employer
employer,employer
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,UNK
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
UNK,UNK
occupation,occupation
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,UNK
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
UNK,employer
occupation,occupation
UNK,employer
employer,employer
UNK,employer
occupation,occupation
employer,employer
employer,employer
UNK,employer
employer,employer
UNK,employer
occupation,occupation
employer,employer
employer,UNK
occupation,occupation
occupation,occupation
employer,employer
employer,employer
UNK,employer
occupation,occupation
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,UNK
employer,employer
UNK,employer
employer,employer
occupation,UNK
UNK,employer
employer,employer
UNK,UNK
employer,UNK
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
UNK,employer
UNK,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,UNK
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
UNK,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,occupation
employer,employer
employer,employer
employer,employer
employer,employer
